ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
COHR,29,2026-08-07,beta_hedged,0.5210385740669986,0.8578680203045685,5,0.005,379.1300048828125,1469382155.0,atr_pct(+0.030) | ret_5d(-0.012) | amihud(+0.012)
NTAP,30,2026-08-07,beta_hedged,0.5207302536176946,0.8527918781725888,5,0.005,189.52000427246094,429377640.0,vol_63d(+0.018) | vol_63d_rank(+0.007) | ret_63d_rank(-0.006)
TGT,31,2026-08-07,beta_hedged,0.5207282190897861,0.8477157360406091,5,0.005,149.6999969482422,490373337.0,close_vs_sma200(+0.009) | vol_63d(-0.007) | vol_63d_rank(+0.005)
MSFT,32,2026-08-07,beta_hedged,0.5206855625139908,0.8426395939086294,5,0.005,499.989990234375,16975078225.0,vol_63d(+0.010) | ret_10d(-0.009) | vol_10d(+0.008)
WDAY,33,2026-08-07,beta_hedged,0.5175569969802588,0.8375634517766497,5,0.005,179.63999938964844,658039312.0,vol_63d(+0.018) | ret_5d(-0.013) | ret_10d(-0.009)
ON,34,2026-08-07,beta_hedged,0.5169424212712109,0.8324873096446701,5,0.005,81.16999816894531,876233349.0,vol_63d(+0.011) | vol_10d(+0.009) | atr_pct(+0.007)
AVGO,35,2026-08-07,beta_hedged,0.5166347780057593,0.8274111675126904,5,0.005,427.760009765625,7416370938.0,vol_63d(+0.021) | vol_63d_rank(+0.006) | ret_5d(-0.006)
A,36,2026-08-07,beta_hedged,0.5166116954666777,0.8223350253807107,5,0.005,145.97000122070312,276572395.0,vol_63d(+0.004) | vol_63d_rank(+0.004) | ret_63d_rank(+0.003)
PWR,37,2026-08-07,beta_hedged,0.5164074063777099,0.817258883248731,5,0.005,671.8599853515625,735118517.0,vol_10d(+0.012) | vol_63d(+0.010) | vol_63d_rank(+0.007)
BLDR,38,2026-08-07,beta_hedged,0.5160801502069962,0.8121827411167513,5,0.005,74.69000244140625,163923059.0,vol_63d(+0.019) | ret_5d(-0.011) | vol_63d_rank(+0.007)
RL,39,2026-08-07,beta_hedged,0.5157609210639221,0.8071065989847716,5,0.005,395.5299987792969,268755552.0,vol_63d(+0.005) | close_vs_sma200(+0.003) | mkt_dispersion(+0.003)
