ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
PANW,1,2026-09-08,beta_hedged,0.6122582220691068,1.0,5,0.005,336.9800109863281,2231024747.0,vol_10d(+0.027) | vol_63d(+0.023) | mkt_dispersion(+0.012)
NOW,2,2026-09-08,beta_hedged,0.5882085671520563,0.9948717948717949,5,0.005,134.2100067138672,2327131272.0,vol_63d(+0.022) | vol_10d(+0.022) | mkt_dispersion(+0.010)
CRM,3,2026-09-08,beta_hedged,0.5639488084241061,0.9897435897435898,5,0.005,249.1199951171875,3769324910.0,vol_10d(+0.018) | vol_63d(+0.017) | mkt_dispersion(+0.010)
CRWD,4,2026-09-08,beta_hedged,0.555771286381952,0.9846153846153847,5,0.005,210.02000427246094,2194178018.0,vol_63d(+0.019) | vol_10d(+0.018) | mkt_dispersion(+0.009)
LULU,5,2026-09-08,beta_hedged,0.5528776512234317,0.9794871794871794,5,0.005,103.19000244140625,688130342.0,vol_63d(+0.018) | vol_10d(+0.016) | vol_63d_rank(+0.008)
CIEN,6,2026-09-08,beta_hedged,0.5494444461111206,0.9743589743589743,5,0.005,341.2900085449219,908316008.0,vol_63d(+0.016) | vol_10d(+0.014) | mkt_dispersion(+0.008)
ANET,7,2026-09-08,beta_hedged,0.5477563175350175,0.9692307692307692,5,0.005,194.9600067138672,1116310358.0,vol_63d(+0.017) | vol_63d_rank(+0.010) | mkt_dispersion(+0.007)
DXCM,8,2026-09-08,beta_hedged,0.5347886957816842,0.9641025641025641,5,0.005,84.52999877929688,366203421.0,vol_63d(+0.008) | close_vs_sma200(+0.005) | mkt_dispersion(+0.005)
CTSH,9,2026-09-08,beta_hedged,0.5343413253964194,0.958974358974359,5,0.005,59.91999816894531,399050510.0,vol_63d_rank(+0.009) | vol_63d(+0.009) | mkt_dispersion(+0.005)
WDAY,10,2026-09-08,beta_hedged,0.5338230466161268,0.9538461538461539,5,0.005,186.27999877929688,982337959.0,vol_63d(+0.015) | vol_63d_rank(+0.006) | mkt_dispersion(+0.006)
BKNG,11,2026-09-08,beta_hedged,0.533808181958861,0.9487179487179487,5,0.005,180.3000030517578,991957727.0,vol_63d(+0.009) | ret_10d(+0.005) | mkt_dispersion(+0.004)
FTNT,12,2026-09-08,beta_hedged,0.5336389622535839,0.9435897435897436,5,0.005,157.47000122070312,698035097.0,vol_10d(+0.012) | close_vs_sma200(+0.007) | mkt_dispersion(+0.006)
CRL,13,2026-09-08,beta_hedged,0.5334476125689093,0.9384615384615385,5,0.005,280.760009765625,258350367.0,vol_63d_rank(+0.006) | close_vs_sma200(+0.006) | mkt_dispersion(+0.005)
GDDY,14,2026-09-08,beta_hedged,0.5331913224844361,0.9333333333333333,5,0.005,92.87999725341797,173860330.0,vol_63d(+0.015) | mkt_dispersion(+0.008) | vol_63d_rank(+0.007)
ZBRA,15,2026-09-08,beta_hedged,0.5330254393078152,0.9282051282051282,5,0.005,352.5400085449219,229238989.0,vol_63d(+0.014) | vol_63d_rank(+0.006) | vol_21d(+0.005)
FCX,16,2026-09-08,beta_hedged,0.5326477481230719,0.9230769230769231,5,0.005,76.62000274658203,1025814118.0,vol_63d_rank(+0.007) | mkt_dispersion(+0.006) | vol_63d(+0.006)
DASH,17,2026-09-08,beta_hedged,0.5323076808344593,0.9179487179487179,5,0.005,200.44000244140625,912494574.0,vol_63d(+0.010) | mkt_dispersion(+0.006) | ret_10d(+0.005)
NEM,18,2026-09-08,beta_hedged,0.5313168574423573,0.9128205128205128,5,0.005,127.08999633789062,1018653167.0,vol_63d(+0.006) | close_vs_sma200(+0.006) | mkt_dispersion(+0.006)
