ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
ACN,27,2026-08-25,beta_hedged,0.5201048487256249,0.8631578947368421,5,0.005128205128205128,186.92999267578125,1118278112.0,vol_63d(+0.016) | ret_21d_rank(+0.003) | mkt_dispersion(+0.003)
TXN,28,2026-08-25,beta_hedged,0.5197907340617977,0.8578947368421053,5,0.005128205128205128,260.04998779296875,1885621188.0,vol_63d(+0.007) | ret_10d(+0.003) | vol_63d_rank(+0.003)
AKAM,29,2026-08-25,beta_hedged,0.5187606031332906,0.8526315789473684,5,0.005128205128205128,105.73999786376953,413947582.0,vol_63d(+0.011) | vol_63d_rank(+0.005) | ret_10d(+0.003)
TSLA,30,2026-08-25,beta_hedged,0.5176559205439373,0.8473684210526315,5,0.005128205128205128,350.25,11518469031.0,vol_63d(+0.017) | vol_63d_rank(+0.005) | vol_21d(-0.004)
EFX,31,2026-08-25,beta_hedged,0.5175910916834191,0.8421052631578947,5,0.005128205128205128,191.88999938964844,227477141.0,vol_63d(+0.006) | ret_63d(+0.003) | vol_21d(-0.003)
PWR,32,2026-08-25,beta_hedged,0.51680629336429,0.8368421052631579,5,0.005128205128205128,603.780029296875,841095307.0,vol_63d(+0.013) | vol_63d_rank(+0.004) | vol_21d_rank(-0.003)
EPAM,33,2026-08-25,beta_hedged,0.5161997886842045,0.8315789473684211,5,0.005128205128205128,111.8499984741211,187736905.0,vol_63d(+0.015) | mkt_dispersion(+0.003) | vol_63d_rank(+0.003)
QCOM,34,2026-08-25,beta_hedged,0.5159329595757166,0.8263157894736842,5,0.005128205128205128,160.55999755859375,1769180943.0,vol_63d(+0.015) | mkt_dispersion(+0.003) | vol_21d(-0.003)
MSFT,35,2026-08-25,beta_hedged,0.5156653582534808,0.8210526315789474,5,0.005128205128205128,491.7099914550781,17052735847.0,vol_63d(+0.007) | close_vs_sma50(+0.004) | ret_63d(+0.003)
NEM,36,2026-08-25,beta_hedged,0.5151667746393044,0.8157894736842105,5,0.005128205128205128,135.13999938964844,850128619.0,ret_10d(-0.008) | close_vs_sma200(+0.006) | vol_63d(+0.005)
