ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
ITW,27,2026-08-12,beta_hedged,0.5075468457747722,0.865979381443299,5,0.005128205128205128,292.510009765625,414684455.0,mkt_dispersion(+0.009) | vol_63d(-0.005) | vol_63d_rank(-0.003)
RVTY,28,2026-08-12,beta_hedged,0.5064467395907385,0.8608247422680413,5,0.005128205128205128,117.87999725341797,173819597.0,close_vs_sma200(+0.007) | vol_63d(-0.005) | mkt_dispersion(-0.004)
CRM,29,2026-08-12,beta_hedged,0.5064339648286128,0.8556701030927835,5,0.005128205128205128,193.32000732421875,2191799425.0,vol_63d(+0.008) | mkt_dispersion(-0.008) | close_vs_sma200(-0.004)
TGT,30,2026-08-12,beta_hedged,0.5061127358901111,0.8505154639175257,5,0.005128205128205128,154.0,515021242.0,close_vs_sma200(+0.006) | vol_63d(-0.006) | vol_21d(+0.003)
TECH,31,2026-08-12,beta_hedged,0.5056976291365914,0.845360824742268,5,0.005128205128205128,72.2300033569336,267154360.0,close_vs_sma200(+0.006) | mkt_dispersion(-0.005) | vol_21d(+0.003)
ROST,32,2026-08-12,beta_hedged,0.505631456759577,0.8402061855670103,5,0.005128205128205128,248.25,515036882.0,close_vs_sma200(+0.008) | vol_63d(-0.006) | vol_21d(+0.003)
COP,33,2026-08-12,beta_hedged,0.505382442358353,0.8350515463917526,5,0.005128205128205128,127.30000305175781,759844557.0,close_vs_sma200(+0.007) | vol_63d(-0.006) | ret_5d(-0.002)
LRCX,34,2026-08-12,beta_hedged,0.5052569779538415,0.8298969072164949,5,0.005128205128205128,326.1099853515625,3354328402.0,atr_pct(+0.017) | vol_10d(+0.016) | mkt_dispersion(-0.007)
NOW,35,2026-08-12,beta_hedged,0.5051572671738006,0.8247422680412371,5,0.005128205128205128,124.94000244140625,2715783767.0,mkt_dispersion(-0.010) | vol_63d(+0.006) | ret_21d_rank(+0.004)
JBHT,36,2026-08-12,beta_hedged,0.5048426072177891,0.8195876288659794,5,0.005128205128205128,275.9599914550781,304813629.0,close_vs_sma200(+0.007) | vol_21d(-0.005) | vol_63d(-0.004)
WM,37,2026-08-12,beta_hedged,0.5047809377789977,0.8144329896907216,5,0.005128205128205128,226.32000732421875,458751281.0,mkt_dispersion(+0.009) | vol_63d(-0.007) | vol_63d_rank(-0.003)
BLDR,38,2026-08-12,beta_hedged,0.5045524692588171,0.8092783505154639,5,0.005128205128205128,72.41000366210938,168287737.0,vol_63d(+0.012) | mkt_dispersion(-0.011) | vol_10d(+0.006)
A,39,2026-08-12,beta_hedged,0.5037583495467479,0.8041237113402062,5,0.005128205128205128,148.24000549316406,271232399.0,vol_63d_rank(+0.005) | vol_63d(-0.004) | close_vs_sma50(+0.002)
FCX,40,2026-08-12,beta_hedged,0.5033591953366434,0.7989690721649485,4,0.0,69.22000122070312,909784396.0,close_vs_sma200(+0.010) | ret_10d(-0.007) | vol_63d_rank(+0.004)
LLY,41,2026-08-12,beta_hedged,0.5033183369370968,0.7938144329896907,4,0.0,1220.280029296875,3202785270.0,vol_63d(-0.006) | close_vs_sma200(+0.005) | ret_5d(+0.002)
ACN,42,2026-08-12,beta_hedged,0.503293827682861,0.788659793814433,4,0.0,180.13999938964844,1142640023.0,vol_63d(+0.014) | mkt_dispersion(-0.011) | ret_21d(+0.007)
ADBE,43,2026-08-12,beta_hedged,0.5032334077289052,0.7835051546391752,4,0.0,258.75,1329153516.0,vol_63d(+0.007) | mkt_dispersion(-0.006) | close_vs_sma200(-0.004)
WSM,44,2026-08-12,beta_hedged,0.5030372535924784,0.7783505154639175,4,0.0,245.14999389648438,212260312.0,close_vs_sma200(+0.006) | mkt_dispersion(-0.005) | vol_63d(-0.005)
NUE,45,2026-08-12,beta_hedged,0.502649277683262,0.7731958762886598,4,0.0,271.80999755859375,361270978.0,vol_63d(-0.006) | close_vs_sma200(+0.006) | vol_21d(-0.005)
BBY,46,2026-08-12,beta_hedged,0.5025502255219315,0.7680412371134021,4,0.0,83.0,286514647.0,mkt_dispersion(-0.012) | close_vs_sma200(+0.006) | vol_63d(+0.004)
CSX,47,2026-08-12,beta_hedged,0.5021803759232056,0.7628865979381443,4,0.0,50.08000183105469,712920229.0,vol_63d(-0.010) | mkt_dispersion(+0.009) | vol_63d_rank(-0.008)
