ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
TTD,1,2026-08-10,beta_hedged,0.5734665376665324,1.0,5,0.005,13.390000343322754,424996225.0,atr_pct(+0.032) | vol_63d(+0.024) | ret_21d_rank(-0.017)
CHRW,2,2026-08-10,beta_hedged,0.5720482900626572,0.9949494949494949,5,0.005,148.2899932861328,448506701.0,atr_pct(+0.024) | vol_63d(+0.023) | ret_21d_rank(-0.010)
MNST,3,2026-08-10,beta_hedged,0.5668604434069991,0.98989898989899,5,0.005,45.71500015258789,563792729.0,atr_pct(+0.035) | ret_21d_rank(-0.022) | vol_63d(+0.022)
CIEN,4,2026-08-10,beta_hedged,0.5590443725561837,0.9848484848484849,5,0.005,387.70001220703125,770913460.0,atr_pct(+0.026) | vol_63d(+0.014) | vol_10d(+0.011)
PODD,5,2026-08-10,beta_hedged,0.5563630617471939,0.9797979797979798,5,0.005,142.85000610351562,274215940.0,vol_63d(+0.018) | atr_pct(+0.013) | vol_10d(+0.008)
EPAM,6,2026-08-10,beta_hedged,0.55470303094913,0.9747474747474747,5,0.005,97.37000274658203,174621770.0,vol_63d(+0.025) | atr_pct(+0.010) | vol_63d_rank(+0.006)
ANET,7,2026-08-10,beta_hedged,0.5524979130887493,0.9696969696969697,5,0.005,191.52000427246094,1452348585.0,vol_63d(+0.021) | vol_63d_rank(+0.008) | vol_10d(+0.007)
SMCI,8,2026-08-10,beta_hedged,0.5521649020296137,0.9646464646464646,5,0.005,31.459999084472656,1231823903.0,vol_63d(+0.019) | atr_pct(+0.015) | vol_10d(+0.012)
CDW,9,2026-08-10,beta_hedged,0.5504242928478525,0.9595959595959596,5,0.005,136.42999267578125,301440414.0,vol_63d(+0.018) | vol_10d(+0.010) | atr_pct(+0.008)
GDDY,10,2026-08-10,beta_hedged,0.548106644513652,0.9545454545454546,5,0.005,91.48999786376953,189369147.0,vol_63d(+0.022) | atr_pct(+0.008) | vol_10d(+0.008)
VRT,11,2026-08-10,beta_hedged,0.5433668636540929,0.9494949494949495,5,0.005,270.1000061035156,1693241923.0,atr_pct(+0.014) | vol_10d(+0.013) | vol_63d(+0.010)
AMD,12,2026-08-10,beta_hedged,0.5407240756622586,0.9444444444444444,5,0.005,469.55999755859375,14989973027.0,atr_pct(+0.027) | vol_10d(+0.011) | vol_63d(+0.007)
AMAT,13,2026-08-10,beta_hedged,0.5402438251221325,0.9393939393939394,5,0.005,522.1199951171875,3915475647.0,vol_10d(+0.018) | atr_pct(+0.007) | vol_63d(+0.006)
ACN,14,2026-08-10,beta_hedged,0.5378452483242279,0.9343434343434344,5,0.005,178.25,1155658900.0,vol_63d(+0.025) | close_vs_sma50(+0.006) | ret_10d(-0.006)
CTSH,15,2026-08-10,beta_hedged,0.537602232257184,0.9292929292929293,5,0.005,58.310001373291016,483345153.0,vol_63d(+0.026) | vol_63d_rank(+0.006) | ret_10d(-0.004)
TER,16,2026-08-10,beta_hedged,0.5374235330214243,0.9242424242424242,5,0.005,365.1000061035156,1341264800.0,atr_pct(+0.020) | vol_10d(+0.014) | vol_63d(+0.011)
NXPI,17,2026-08-10,beta_hedged,0.53671693498201,0.9191919191919192,5,0.005,233.42999267578125,1171037177.0,vol_63d(+0.018) | vol_10d(+0.006) | bb_position(+0.004)
LRCX,18,2026-08-10,beta_hedged,0.5337775380006692,0.9141414141414141,5,0.005,306.3999938964844,3473644817.0,atr_pct(+0.017) | vol_10d(+0.015) | vol_63d(+0.007)
FCX,19,2026-08-10,beta_hedged,0.531956898918568,0.9090909090909091,5,0.005,70.51000213623047,901188615.0,vol_63d(+0.014) | ret_5d(-0.005) | close_vs_sma200(+0.005)
