ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
TPR,29,2026-08-13,beta_hedged,0.5227564688454603,0.8564102564102564,5,0.005,128.38999938964844,338728252.0,vol_10d(+0.008) | vol_63d(+0.008) | vol_63d_rank(+0.005)
NOW,30,2026-08-13,beta_hedged,0.5227293135477201,0.8512820512820513,5,0.005,127.25,2722656090.0,vol_63d(+0.016) | ret_10d(-0.005) | close_vs_sma50(+0.005)
AKAM,31,2026-08-13,beta_hedged,0.52065678577621,0.8461538461538461,5,0.005,125.29000091552734,443129236.0,vol_63d(+0.010) | vol_10d(+0.009) | vol_63d_rank(+0.006)
SMCI,32,2026-08-13,beta_hedged,0.520337087699633,0.841025641025641,5,0.005,39.15999984741211,1686138859.0,vol_63d(+0.009) | ret_5d(-0.009) | vol_10d(+0.006)
GRMN,33,2026-08-13,beta_hedged,0.5199435738695072,0.8358974358974359,5,0.005,311.92999267578125,317976831.0,vol_63d(+0.007) | close_vs_sma200(+0.005) | close_vs_sma50(+0.005)
MSFT,34,2026-08-13,beta_hedged,0.5195801397119905,0.8307692307692308,5,0.005,496.8800048828125,17487284418.0,vol_63d(+0.007) | close_vs_sma50(+0.006) | vol_63d_rank(+0.003)
GLW,35,2026-08-13,beta_hedged,0.5185156176796436,0.8256410256410256,5,0.005,158.5399932861328,2080786566.0,vol_10d(+0.014) | atr_pct(+0.013) | vol_63d(+0.010)
ADSK,36,2026-08-13,beta_hedged,0.5176914928551594,0.8205128205128205,5,0.005,257.9599914550781,500024914.0,vol_63d(+0.007) | vol_63d_rank(+0.003) | close_vs_sma50(+0.003)
ON,37,2026-08-13,beta_hedged,0.5167735610674421,0.8153846153846154,5,0.005,81.55999755859375,852762185.0,vol_63d(+0.009) | ret_10d(+0.004) | close_vs_sma200(-0.004)
GDDY,38,2026-08-13,beta_hedged,0.5162822201525651,0.8102564102564103,5,0.005,100.5,197396688.0,vol_63d(+0.015) | ret_5d(-0.008) | vol_10d(+0.008)
