ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
ISRG,28,2026-09-02,beta_hedged,0.5154118018664681,0.8615384615384616,5,0.005,371.8800048828125,924664975.0,vol_63d(+0.007) | vol_63d_rank(+0.004) | bb_position(+0.002)
REGN,29,2026-09-02,beta_hedged,0.5141307873328397,0.8564102564102564,5,0.005,852.030029296875,590569202.0,close_vs_sma200(+0.006) | vol_63d(-0.004) | close_vs_sma50(+0.003)
ANET,30,2026-09-02,beta_hedged,0.5134496444317761,0.8512820512820513,5,0.005,186.10000610351562,1337956517.0,vol_63d(+0.009) | vol_63d_rank(+0.004) | close_vs_sma200(+0.003)
ADBE,31,2026-09-02,beta_hedged,0.5132869510989122,0.8461538461538461,5,0.005,279.7900085449219,1171940602.0,vol_63d(+0.006) | close_vs_sma50(+0.004) | vol_63d_rank(+0.003)
ORCL,32,2026-09-02,beta_hedged,0.5131566090216002,0.841025641025641,5,0.005,145.75,3325117908.0,vol_63d(+0.015) | vol_63d_rank(+0.004) | vol_21d(-0.003)
PTC,33,2026-09-02,beta_hedged,0.5131410885315472,0.8358974358974359,5,0.005,149.1300048828125,173804214.0,vol_63d(+0.006) | close_vs_sma50(+0.003) | vol_21d(-0.003)
PWR,34,2026-09-02,beta_hedged,0.5120708770641708,0.8307692307692308,5,0.005,610.780029296875,695166072.0,vol_63d(+0.007) | vol_63d_rank(+0.003) | bb_position(+0.003)
MAS,35,2026-09-02,beta_hedged,0.5119312289124475,0.8256410256410256,5,0.005,70.94000244140625,142919779.0,vol_63d_rank(+0.005) | vol_21d(+0.003) | amihud(+0.002)
BBY,36,2026-09-02,beta_hedged,0.5116653662044869,0.8205128205128205,5,0.005,87.0,333124574.0,close_vs_sma200(+0.006) | vol_63d_rank(+0.004) | vol_63d(-0.003)
TSLA,37,2026-09-02,beta_hedged,0.5114678284878292,0.8153846153846154,5,0.005,357.010009765625,11905001924.0,vol_63d(+0.014) | vol_63d_rank(+0.004) | vol_21d(-0.003)
FSLR,38,2026-09-02,beta_hedged,0.5114091225694622,0.8102564102564103,5,0.005,202.60000610351562,502434789.0,vol_63d(+0.007) | vol_63d_rank(+0.003) | vol_21d(-0.003)
TJX,39,2026-09-02,beta_hedged,0.511318874683388,0.8051282051282052,5,0.005,131.30999755859375,1045009008.0,sharpe_mom_21(+0.007) | vol_63d_rank(-0.006) | sharpe_mom_63(+0.005)
ADI,40,2026-09-02,beta_hedged,0.5112697681560596,0.8,4,0.005,355.7099914550781,1324309071.0,vol_63d_rank(+0.004) | vol_21d(+0.003) | bb_position(+0.002)
PODD,41,2026-09-02,beta_hedged,0.5109701510749337,0.7948717948717948,4,0.0,148.13999938964844,291129217.0,vol_21d(+0.010) | vol_63d(+0.008) | vol_63d_rank(+0.005)
QCOM,42,2026-09-02,beta_hedged,0.510841367586571,0.7897435897435897,4,0.0,169.9600067138672,1512611111.0,vol_63d(+0.011) | vol_63d_rank(+0.004) | mkt_dispersion(-0.002)
DHR,43,2026-09-02,beta_hedged,0.5102393368924064,0.7846153846153846,4,0.0,209.91000366210938,669647737.0,vol_63d_rank(+0.006) | ret_63d(+0.003) | vol_63d(-0.003)
GPC,44,2026-09-02,beta_hedged,0.5096688039092299,0.7794871794871795,4,0.0,137.14999389648438,150952434.0,vol_63d_rank(+0.006) | vol_63d(-0.003) | mkt_dispersion(+0.002)
GEV,45,2026-09-02,beta_hedged,0.5095959173448311,0.7743589743589744,4,0.0,921.9400024414062,1989815933.0,vol_63d(+0.010) | vol_63d_rank(+0.003) | bb_position(+0.003)
CARR,46,2026-09-02,beta_hedged,0.5094146778696197,0.7692307692307693,4,0.0,57.58000183105469,315915804.0,sharpe_mom_21(+0.005) | vol_63d_rank(+0.004) | vol_63d(-0.004)
CTVA,47,2026-09-02,beta_hedged,0.5093342394197058,0.764102564102564,4,0.0,89.97000122070312,359152141.0,vol_63d_rank(+0.004) | vol_63d(-0.003) | ret_63d(+0.002)
CF,48,2026-09-02,beta_hedged,0.5091250759871517,0.7589743589743589,4,0.0,139.27000427246094,315511317.0,close_vs_sma200(+0.007) | close_vs_sma50(+0.003) | vol_63d_rank(+0.003)
SLB,49,2026-09-02,beta_hedged,0.5089884259894341,0.7538461538461538,4,0.0,58.130001068115234,627690324.0,close_vs_sma200(+0.006) | ret_63d(-0.004) | close_vs_sma50(+0.002)
MCHP,50,2026-09-02,beta_hedged,0.5085658006127445,0.7487179487179487,4,0.0,72.76000213623047,722317462.0,vol_63d(+0.011) | vol_21d_rank(-0.004) | vol_63d_rank(+0.003)
RL,51,2026-09-02,beta_hedged,0.5084919405501407,0.7435897435897436,4,0.0,336.5,265506260.0,bb_position(+0.003) | vol_63d_rank(+0.003) | vol_63d(+0.003)
IR,52,2026-09-02,beta_hedged,0.5083831085183004,0.7384615384615385,4,0.0,75.0,291869637.0,sharpe_mom_21(+0.005) | vol_63d(-0.003) | vol_63d_rank(+0.003)
AKAM,53,2026-09-02,beta_hedged,0.5074978304541072,0.7333333333333333,4,0.0,105.08999633789062,393891147.0,vol_63d(+0.006) | vol_21d(-0.004) | vol_63d_rank(+0.003)
ROP,54,2026-09-02,beta_hedged,0.5072299577430099,0.7282051282051282,4,0.0,415.7900085449219,282678746.0,vol_63d(-0.004) | vol_63d_rank(+0.003) | close_vs_sma50(+0.003)
CRM,55,2026-09-02,beta_hedged,0.5068883083177823,0.7230769230769231,4,0.0,256.92999267578125,3563179693.0,vol_10d(+0.008) | ret_5d(-0.008) | ret_63d(+0.006)
AVGO,56,2026-09-02,beta_hedged,0.5065511702108165,0.717948717948718,4,0.0,367.239990234375,7343031392.0,vol_63d(+0.009) | vol_63d_rank(+0.004) | vol_21d(-0.003)
BKNG,57,2026-09-02,beta_hedged,0.5054531092462319,0.7128205128205128,4,0.0,199.60000610351562,1069315831.0,vol_63d_rank(+0.004) | vol_63d(-0.004) | vol_21d(-0.003)
JBL,58,2026-09-02,beta_hedged,0.5054336350988199,0.7076923076923077,4,0.0,299.3900146484375,319655108.0,vol_63d(+0.004) | vol_63d_rank(+0.004) | bb_position(+0.003)
NTAP,59,2026-09-02,beta_hedged,0.5054112539405361,0.7025641025641025,4,0.0,180.77000427246094,456987300.0,ret_63d(-0.004) | close_vs_sma200(+0.004) | vol_63d_rank(+0.003)
ALGN,60,2026-09-02,beta_hedged,0.5053202708989225,0.6974358974358974,4,0.0,159.14999389648438,135094178.0,vol_21d(-0.004) | vol_63d(+0.003) | bb_position(+0.003)
CMI,61,2026-09-02,beta_hedged,0.5053083151661558,0.6923076923076923,4,0.0,550.9000244140625,535541621.0,vol_63d_rank(+0.004) | vol_63d(-0.003) | close_vs_sma200(-0.002)
VRT,62,2026-09-02,beta_hedged,0.5052661415332156,0.6871794871794872,4,0.0,256.70001220703125,1137671780.0,vol_63d(+0.009) | vol_63d_rank(+0.003) | vol_21d(-0.002)
ADM,63,2026-09-02,beta_hedged,0.5052189142608334,0.6820512820512821,4,0.0,85.37999725341797,302914690.0,close_vs_sma200(+0.006) | vol_63d(-0.003) | mkt_dispersion(+0.002)
VRTX,64,2026-09-02,beta_hedged,0.5051104168796907,0.676923076923077,4,0.0,556.75,590721643.0,close_vs_sma200(+0.006) | vol_63d(-0.005) | close_vs_sma50(+0.003)
SWKS,65,2026-09-02,beta_hedged,0.5050650357093548,0.6717948717948717,4,0.0,71.66999816894531,359602569.0,vol_63d(+0.004) | vol_63d_rank(+0.003) | vol_21d(-0.003)
CIEN,66,2026-09-02,beta_hedged,0.5048870696472902,0.6666666666666666,4,0.0,354.1600036621094,786783203.0,vol_63d(+0.009) | mkt_dispersion(-0.008) | atr_pct(+0.006)
ODFL,67,2026-09-02,beta_hedged,0.5048251184677558,0.6615384615384615,4,0.0,187.61000061035156,305562668.0,vol_63d_rank(+0.003) | vol_63d(-0.003) | close_vs_sma200(-0.002)
ULTA,68,2026-09-02,beta_hedged,0.5044013008813945,0.6564102564102564,4,0.0,551.739990234375,421740140.0,vol_21d(-0.003) | close_vs_sma50(+0.003) | ret_63d(+0.003)
GOOGL,69,2026-09-02,beta_hedged,0.5042183259097511,0.6512820512820513,4,0.0,337.1199951171875,8164613230.0,vol_63d_rank(+0.005) | vol_63d(-0.004) | vol_21d(+0.003)
BDX,70,2026-09-02,beta_hedged,0.5042146227224513,0.6461538461538462,4,0.0,187.52000427246094,332315376.0,close_vs_sma200(+0.005) | vol_63d(-0.005) | vol_63d_rank(-0.005)
CHRW,71,2026-09-02,beta_hedged,0.5040139746211661,0.6410256410256411,4,0.0,145.1999969482422,200549749.0,vol_63d_rank(+0.004) | vol_63d(+0.003) | sharpe_mom_21(-0.002)
LH,72,2026-09-02,beta_hedged,0.5033971115906182,0.6358974358974359,4,0.0,331.6600036621094,214573538.0,vol_63d_rank(-0.008) | close_vs_sma200(+0.006) | vol_63d(-0.005)
TRMB,73,2026-09-02,beta_hedged,0.5031833031825587,0.6307692307692307,4,0.0,59.11000061035156,235497840.0,vol_63d_rank(+0.004) | vol_63d(-0.003) | close_vs_sma200(-0.002)
TPR,74,2026-09-02,beta_hedged,0.502798692279222,0.6256410256410256,4,0.0,123.13999938964844,506992791.0,vol_63d(+0.006) | ret_21d_rank(-0.004) | vol_21d_rank(-0.004)
ADSK,75,2026-09-02,beta_hedged,0.502721243889979,0.6205128205128205,4,0.0,241.72999572753906,474148402.0,vol_63d_rank(+0.003) | vol_63d(+0.003) | vol_21d(-0.003)
GEHC,76,2026-09-02,beta_hedged,0.5025707434382402,0.6153846153846154,4,0.0,70.55999755859375,193050415.0,vol_63d_rank(+0.006) | vol_63d(-0.005) | close_vs_sma200(-0.004)
PHM,77,2026-09-02,beta_hedged,0.5023886460633152,0.6102564102564103,4,0.0,123.69999694824219,159528370.0,vol_63d_rank(+0.005) | vol_63d(-0.003) | close_vs_sma200(-0.003)
WAT,78,2026-09-02,beta_hedged,0.5022877905333126,0.6051282051282051,4,0.0,412.20001220703125,324463774.0,vol_63d(-0.005) | ret_63d(+0.002) | vol_21d(+0.001)
NUE,79,2026-09-02,beta_hedged,0.5021888403174556,0.6,3,0.0,263.9700012207031,375891346.0,close_vs_sma200(+0.006) | ret_63d(-0.003) | vol_21d(-0.002)
GILD,80,2026-09-02,beta_hedged,0.502105518402468,0.5948717948717949,3,0.0,149.61000061035156,847519293.0,vol_63d(-0.006) | close_vs_sma50(+0.004) | vol_63d_rank(-0.003)
CDNS,81,2026-09-02,beta_hedged,0.5018958765231338,0.5897435897435898,3,0.0,306.6700134277344,675897231.0,vol_21d(-0.003) | bb_position(+0.002) | close_vs_sma200(-0.002)
SNPS,82,2026-09-02,beta_hedged,0.5017301687035495,0.5846153846153846,3,0.0,415.9700012207031,699196076.0,vol_10d(+0.006) | mkt_dispersion(-0.005) | mkt_breadth(+0.002)
STLD,83,2026-09-02,beta_hedged,0.501721076434347,0.5794871794871795,3,0.0,247.63999938964844,283863913.0,close_vs_sma200(+0.006) | ret_63d(-0.003) | vol_21d(-0.003)
SYK,84,2026-09-02,beta_hedged,0.501257922533361,0.5743589743589743,3,0.0,312.19000244140625,719440636.0,vol_63d_rank(+0.004) | vol_63d(-0.003) | close_vs_sma200(-0.003)
ABT,85,2026-09-02,beta_hedged,0.5010777543668347,0.5692307692307692,3,0.0,110.47000122070312,860415755.0,vol_63d(-0.005) | vol_21d(+0.002) | ret_63d(+0.002)
CLX,86,2026-09-02,beta_hedged,0.5002347652434896,0.5641025641025641,3,0.0,94.2699966430664,299147690.0,vol_63d(-0.004) | vol_63d_rank(+0.003) | close_vs_sma200(-0.003)
NKE,87,2026-09-02,beta_hedged,0.500152071359624,0.558974358974359,3,0.0,38.2400016784668,1096846364.0,vol_63d(-0.004) | vol_63d_rank(+0.003) | close_vs_sma200(-0.003)
PKG,88,2026-09-02,beta_hedged,0.5001320474970588,0.5538461538461539,3,0.0,233.5399932861328,143540520.0,vol_21d(-0.005) | vol_63d_rank(+0.003) | vol_63d(-0.003)
COR,89,2026-09-02,beta_hedged,0.4999747065485774,0.5487179487179488,3,0.0,336.3599853515625,448568341.0,vol_63d(-0.004) | vol_63d_rank(-0.003) | vol_10d(-0.002)
