ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
FSLR,28,2026-08-11,beta_hedged,0.5325300988069536,0.8586387434554974,5,0.005128205128205128,240.91000366210938,575850276.0,vol_63d(+0.019) | ret_10d(-0.015) | vol_10d(+0.011)
PWR,29,2026-08-11,beta_hedged,0.5318348188128404,0.8534031413612565,5,0.005128205128205128,670.5800170898438,731472255.0,vol_10d(+0.020) | vol_63d(+0.010) | vol_63d_rank(+0.009)
MCHP,30,2026-08-11,beta_hedged,0.5305985359398652,0.8481675392670157,5,0.005128205128205128,81.0199966430664,922546508.0,vol_10d(+0.018) | vol_63d(+0.018) | atr_pct(+0.008)
SWKS,31,2026-08-11,beta_hedged,0.5279272215755273,0.8429319371727748,5,0.005128205128205128,68.33000183105469,369295324.0,vol_63d(+0.022) | vol_10d(+0.008) | vol_63d_rank(+0.008)
GLW,32,2026-08-11,beta_hedged,0.5266828472445879,0.837696335078534,5,0.005128205128205128,159.19000244140625,2129867881.0,atr_pct(+0.020) | vol_10d(+0.019) | vol_63d(+0.009)
ON,33,2026-08-11,beta_hedged,0.5260340832296638,0.8324607329842932,5,0.005128205128205128,81.11000061035156,877443710.0,vol_63d(+0.010) | vol_10d(+0.009) | mkt_dispersion(+0.006)
NOW,34,2026-08-11,beta_hedged,0.5245372301166839,0.8272251308900523,5,0.005128205128205128,127.54000091552734,2751637645.0,vol_63d(+0.014) | ret_10d(-0.008) | vol_63d_rank(+0.007)
BBY,35,2026-08-11,beta_hedged,0.5244983336551785,0.8219895287958116,5,0.005128205128205128,83.27999877929688,290057733.0,vol_63d(+0.011) | mkt_dispersion(+0.006) | vol_63d_rank(+0.005)
QCOM,36,2026-08-11,beta_hedged,0.5240083793633864,0.8167539267015707,5,0.005128205128205128,162.67999267578125,2119302677.0,vol_63d(+0.015) | vol_10d(+0.009) | mkt_dispersion(+0.005)
TECH,37,2026-08-11,beta_hedged,0.523814998927964,0.8115183246073299,5,0.005128205128205128,72.1500015258789,266067181.0,vol_63d(+0.008) | vol_63d_rank(+0.005) | vol_10d(-0.004)
FCX,38,2026-08-11,beta_hedged,0.5237327075050665,0.806282722513089,5,0.005128205128205128,68.87000274658203,904643725.0,vol_63d(+0.008) | vol_63d_rank(+0.007) | close_vs_sma200(+0.005)
ACN,39,2026-08-11,beta_hedged,0.5236687499118996,0.8010471204188482,5,0.005128205128205128,179.82000732421875,1153839540.0,vol_63d(+0.026) | vol_63d_rank(+0.007) | ret_21d_rank(-0.007)
ZBRA,40,2026-08-11,beta_hedged,0.523283230954572,0.7958115183246073,4,0.0,383.05999755859375,285417007.0,vol_63d(+0.018) | vol_10d(+0.010) | ret_10d(-0.007)
MSFT,41,2026-08-11,beta_hedged,0.5212276748174047,0.7905759162303665,4,0.0,503.80999755859375,17446023129.0,ret_21d_rank(-0.009) | vol_10d(+0.008) | ret_10d(-0.008)
CRM,42,2026-08-11,beta_hedged,0.520827784398834,0.7853403141361257,4,0.0,197.47000122070312,2194665816.0,vol_63d(+0.008) | vol_63d_rank(+0.008) | ret_21d_rank(+0.004)
CRWD,43,2026-08-11,beta_hedged,0.5197882746252883,0.7801047120418848,4,0.0,221.89999389648438,1644001520.0,vol_63d(+0.018) | ret_10d(-0.007) | ret_21d_rank(+0.006)
ADBE,44,2026-08-11,beta_hedged,0.5190904266460179,0.774869109947644,4,0.0,263.7099914550781,1331793180.0,vol_63d_rank(+0.008) | close_vs_sma200(-0.004) | vol_63d(+0.003)
WSM,45,2026-08-11,beta_hedged,0.5177581249184585,0.7696335078534031,4,0.0,250.58999633789062,211243889.0,close_vs_sma200(+0.007) | vol_63d_rank(+0.006) | vol_63d(-0.005)
EXPE,46,2026-08-11,beta_hedged,0.5174530169652268,0.7643979057591623,4,0.0,321.07000732421875,464573186.0,vol_63d_rank(+0.006) | close_vs_sma200(+0.006) | atr_pct(-0.005)
WAT,47,2026-08-11,beta_hedged,0.5156546815347332,0.7591623036649214,4,0.0,415.0,354646080.0,close_vs_sma200(+0.007) | vol_63d(-0.007) | close_vs_sma50(+0.003)
JCI,48,2026-08-11,beta_hedged,0.5149393096045278,0.7539267015706806,4,0.0,154.75999450683594,520369282.0,close_vs_sma200(+0.007) | vol_63d(-0.005) | vol_63d_rank(+0.005)
GEHC,49,2026-08-11,beta_hedged,0.5138921092569206,0.7486910994764397,4,0.0,72.75,395771048.0,vol_63d(-0.006) | vol_10d(+0.006) | vol_21d(+0.006)
VRT,50,2026-08-11,beta_hedged,0.5138502410569016,0.743455497382199,4,0.0,281.80999755859375,1674963064.0,vol_10d(+0.017) | atr_pct(+0.010) | vol_63d(+0.006)
CDNS,51,2026-08-11,beta_hedged,0.5135500993335667,0.7382198952879581,4,0.0,327.5299987792969,836794627.0,vol_63d(+0.010) | ret_10d(+0.005) | mkt_dispersion(+0.004)
DASH,52,2026-08-11,beta_hedged,0.5123838752314404,0.7329842931937173,4,0.0,212.0,809130226.0,vol_63d(+0.007) | mkt_dispersion(+0.003) | vol_10d(-0.003)
ADSK,53,2026-08-11,beta_hedged,0.5120291934614386,0.7277486910994765,4,0.0,251.58999633789062,495518819.0,vol_63d(+0.007) | vol_21d(-0.003) | ret_21d_rank(+0.003)
AVGO,54,2026-08-11,beta_hedged,0.5113833125739707,0.7225130890052356,4,0.0,416.0799865722656,7322533043.0,vol_63d(+0.016) | vol_63d_rank(+0.009) | mkt_dispersion(+0.004)
STLD,55,2026-08-11,beta_hedged,0.5108710925118105,0.7172774869109948,4,0.0,263.69000244140625,297828310.0,close_vs_sma200(+0.008) | vol_63d(-0.007) | vol_63d_rank(+0.006)
NUE,56,2026-08-11,beta_hedged,0.5108247737318036,0.7120418848167539,4,0.0,271.95001220703125,357581866.0,close_vs_sma200(+0.008) | vol_63d(-0.007) | vol_21d(-0.005)
ALGN,57,2026-08-11,beta_hedged,0.510566184045954,0.7068062827225131,4,0.0,172.9600067138672,171939033.0,vol_63d(+0.011) | ret_10d(+0.004) | mkt_dispersion(+0.004)
EFX,58,2026-08-11,beta_hedged,0.510393786584007,0.7015706806282722,4,0.0,181.9600067138672,315932329.0,vol_63d(+0.010) | vol_21d(-0.005) | close_vs_sma200(-0.003)
TPR,59,2026-08-11,beta_hedged,0.5102410254625351,0.6963350785340314,4,0.0,160.5399932861328,310969164.0,vol_63d(-0.008) | close_vs_sma200(+0.008) | close_vs_sma50(+0.003)
GEV,60,2026-08-11,beta_hedged,0.5102252994109605,0.6910994764397905,4,0.0,1011.8800048828125,2783869682.0,vol_63d(+0.016) | vol_63d_rank(+0.006) | mkt_dispersion(+0.005)
