ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
STX,27,2026-08-27,beta_hedged,0.5208344358618063,0.8638743455497382,5,0.005128205128205128,847.2000122070312,3889033482.0,vol_63d(+0.016) | vol_10d(+0.010) | ret_63d(-0.007)
NEM,28,2026-08-27,beta_hedged,0.5204731354141732,0.8586387434554974,5,0.005128205128205128,132.2899932861328,909631147.0,close_vs_sma50(+0.007) | ret_10d(-0.007) | close_vs_sma200(+0.005)
AMD,29,2026-08-27,beta_hedged,0.5194964429226795,0.8534031413612565,5,0.005128205128205128,476.6700134277344,11676695540.0,vol_63d(+0.016) | amihud(-0.003) | mkt_dispersion(+0.002)
NOW,30,2026-08-27,beta_hedged,0.5194407818313214,0.8481675392670157,5,0.005128205128205128,138.42999267578125,2176754546.0,ret_1d(-0.008) | vol_63d(+0.008) | ret_63d(+0.007)
MRK,31,2026-08-27,beta_hedged,0.5179065784650295,0.8429319371727748,5,0.005128205128205128,149.5399932861328,1573012324.0,vol_10d(+0.007) | ret_63d(+0.006) | close_vs_sma200(+0.005)
TXN,32,2026-08-27,beta_hedged,0.5178556379715543,0.837696335078534,5,0.005128205128205128,266.5400085449219,1697510860.0,vol_63d_rank(+0.005) | vol_63d(+0.005) | ret_63d(+0.003)
ADBE,33,2026-08-27,beta_hedged,0.5175030385640577,0.8324607329842932,5,0.005128205128205128,289.1499938964844,1147779225.0,vol_63d(+0.006) | vol_63d_rank(+0.005) | ret_63d(+0.003)
FCX,34,2026-08-27,beta_hedged,0.5170457419461493,0.8272251308900523,5,0.005128205128205128,78.41999816894531,992522212.0,ret_10d(-0.007) | close_vs_sma50(+0.007) | close_vs_sma200(+0.006)
JBL,35,2026-08-27,beta_hedged,0.5169995810037936,0.8219895287958116,5,0.005128205128205128,312.2200012207031,332226340.0,vol_63d(+0.009) | vol_63d_rank(+0.005) | vol_21d(-0.003)
NXPI,36,2026-08-27,beta_hedged,0.5167706611287483,0.8167539267015707,5,0.005128205128205128,225.86000061035156,882987500.0,vol_63d(+0.006) | vol_63d_rank(+0.004) | vol_21d(-0.003)
PNR,37,2026-08-27,beta_hedged,0.5164314617741944,0.8115183246073299,5,0.005128205128205128,62.099998474121094,186689810.0,vol_63d(+0.005) | vol_21d(+0.003) | vol_63d_rank(+0.003)
MSFT,38,2026-08-27,beta_hedged,0.5164311516380035,0.806282722513089,5,0.005128205128205128,505.05999755859375,16489386989.0,close_vs_sma50(+0.007) | ret_63d(+0.004) | ret_21d_rank(-0.003)
ON,39,2026-08-27,beta_hedged,0.5161802416508908,0.8010471204188482,5,0.005128205128205128,74.80000305175781,726907053.0,vol_63d(+0.013) | mkt_dispersion(+0.004) | ret_63d(+0.003)
TER,40,2026-08-27,beta_hedged,0.5160542574232002,0.7958115183246073,4,0.0,372.05999755859375,1135673310.0,vol_63d(+0.015) | vol_10d(+0.009) | ret_63d(-0.007)
TSLA,41,2026-08-27,beta_hedged,0.515799794514986,0.7905759162303665,4,0.0,354.80999755859375,11333993383.0,vol_63d(+0.012) | vol_63d_rank(+0.005) | vol_21d(-0.003)
LRCX,42,2026-08-27,beta_hedged,0.5156945451711117,0.7853403141361257,4,0.0,318.5799865722656,2860494915.0,vol_63d(+0.019) | vol_21d_rank(-0.005) | ret_21d_rank(-0.005)
ADSK,43,2026-08-27,beta_hedged,0.5156418265999251,0.7801047120418848,4,0.0,270.5799865722656,431690524.0,vol_63d(+0.005) | ret_63d(+0.004) | vol_63d_rank(+0.004)
KLAC,44,2026-08-27,beta_hedged,0.5145607414681206,0.774869109947644,4,0.0,183.77000427246094,1983571081.0,vol_63d(+0.016) | vol_21d(-0.004) | ret_63d(-0.003)
INCY,45,2026-08-27,beta_hedged,0.5141891456354336,0.7696335078534031,4,0.0,127.73999786376953,177423632.0,vol_63d_rank(+0.006) | close_vs_sma200(+0.005) | vol_63d(-0.003)
PODD,46,2026-08-27,beta_hedged,0.514172670543835,0.7643979057591623,4,0.0,143.41000366210938,262553907.0,vol_63d(+0.012) | mkt_dispersion(+0.003) | vol_63d_rank(+0.003)
BKNG,47,2026-08-27,beta_hedged,0.5132632712940212,0.7591623036649214,4,0.0,202.55999755859375,1152099095.0,vol_63d_rank(+0.006) | ret_63d(+0.003) | vol_63d(-0.003)
EFX,48,2026-08-27,beta_hedged,0.5129404607315865,0.7539267015706806,4,0.0,190.36000061035156,209104394.0,vol_63d(+0.005) | vol_63d_rank(+0.004) | close_vs_sma200(-0.004)
RVTY,49,2026-08-27,beta_hedged,0.5128464696691802,0.7486910994764397,4,0.0,129.7100067138672,178862546.0,vol_63d_rank(+0.005) | close_vs_sma200(+0.005) | vol_63d(-0.003)
FFIV,50,2026-08-27,beta_hedged,0.512591471756407,0.743455497382199,4,0.0,410.2200012207031,278600404.0,vol_21d(-0.004) | ret_63d(+0.004) | close_vs_sma200(+0.004)
TGT,51,2026-08-27,beta_hedged,0.512361773056584,0.7382198952879581,4,0.0,165.92999267578125,757055054.0,close_vs_sma200(+0.004) | vol_63d(-0.004) | vol_63d_rank(+0.003)
TECH,52,2026-08-27,beta_hedged,0.5121673867047312,0.7329842931937173,4,0.0,72.47000122070312,215970945.0,vol_63d_rank(+0.004) | ret_63d(+0.003) | vol_63d(+0.003)
ISRG,53,2026-08-27,beta_hedged,0.5114626979249883,0.7277486910994765,4,0.0,367.07000732421875,1018622328.0,vol_63d(+0.007) | vol_63d_rank(+0.004) | close_vs_sma200(-0.003)
