ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
EPAM,27,2026-09-17,beta_hedged,0.5300634969119483,0.8652849740932642,5,0.005128205128205128,117.0999984741211,144553039.0,vol_63d(+0.021) | mkt_dispersion(+0.007) | vol_63d_rank(+0.006)
ADSK,28,2026-09-17,beta_hedged,0.5293476606110276,0.8601036269430051,5,0.005128205128205128,218.63999938964844,545266104.0,vol_10d(+0.009) | mkt_dispersion(+0.007) | vol_63d(+0.005)
MCHP,29,2026-09-17,beta_hedged,0.5293023313133378,0.8549222797927462,5,0.005128205128205128,70.81999969482422,566142629.0,vol_63d(+0.017) | mkt_dispersion(+0.006) | vol_63d_rank(+0.006)
WDAY,30,2026-09-17,beta_hedged,0.5290033640053003,0.8497409326424871,5,0.005128205128205128,199.27999877929688,697400575.0,vol_63d(+0.018) | mkt_dispersion(+0.008) | ret_5d(-0.005)
NTAP,31,2026-09-17,beta_hedged,0.5289554977901675,0.844559585492228,5,0.005128205128205128,196.9199981689453,462150753.0,mkt_dispersion(+0.008) | close_vs_sma200(+0.006) | vol_63d_rank(+0.005)
TSLA,32,2026-09-17,beta_hedged,0.5280364745500169,0.8393782383419689,5,0.005128205128205128,366.20001220703125,14123013038.0,vol_63d(+0.023) | mkt_dispersion(+0.006) | vol_63d_rank(+0.004)
NEM,33,2026-09-17,beta_hedged,0.5278529467986665,0.8341968911917098,5,0.005128205128205128,124.38999938964844,1024804989.0,vol_63d(+0.008) | vol_63d_rank(+0.005) | mkt_dispersion(+0.005)
AMD,34,2026-09-17,beta_hedged,0.5277842736194168,0.8290155440414507,5,0.005128205128205128,545.0900268554688,8619965696.0,vol_63d(+0.017) | mkt_dispersion(+0.007) | close_vs_sma200(+0.005)
EXPE,35,2026-09-17,beta_hedged,0.5275941475022661,0.8238341968911918,5,0.005128205128205128,284.54998779296875,505944033.0,vol_63d_rank(+0.007) | vol_63d(+0.006) | mkt_dispersion(+0.005)
ZBRA,36,2026-09-17,beta_hedged,0.5274890136442251,0.8186528497409327,5,0.005128205128205128,347.80999755859375,207003043.0,vol_63d(+0.014) | mkt_dispersion(+0.009) | vol_10d(-0.005)
TPR,37,2026-09-17,beta_hedged,0.5272306153486362,0.8134715025906736,5,0.005128205128205128,116.04000091552734,411564308.0,vol_63d_rank(+0.007) | vol_63d(+0.007) | mkt_dispersion(+0.003)
KLAC,38,2026-09-17,beta_hedged,0.526045141674261,0.8082901554404145,5,0.005128205128205128,168.97999572753906,1590647429.0,vol_63d(+0.016) | mkt_dispersion(+0.009) | vol_63d_rank(+0.006)
MPWR,39,2026-09-17,beta_hedged,0.5256138964795346,0.8031088082901554,5,0.005128205128205128,1169.5799560546875,834161911.0,vol_63d(+0.017) | mkt_dispersion(+0.009) | vol_63d_rank(+0.004)
AMAT,40,2026-09-17,beta_hedged,0.5245902193360527,0.7979274611398963,4,0.0,417.3999938964844,2801537604.0,vol_63d(+0.019) | mkt_dispersion(+0.009) | ret_21d_rank(-0.005)
GRMN,41,2026-09-17,beta_hedged,0.5213462227872276,0.7927461139896373,4,0.0,275.3500061035156,239468593.0,vol_63d_rank(+0.007) | close_vs_sma200(+0.005) | mkt_dispersion(+0.003)
PTC,42,2026-09-17,beta_hedged,0.5212613656798423,0.7875647668393783,4,0.0,134.44000244140625,193950269.0,vol_63d(+0.006) | vol_63d_rank(+0.005) | mkt_dispersion(+0.005)
FCX,43,2026-09-17,beta_hedged,0.5210291076897909,0.7823834196891192,4,0.0,70.8499984741211,1110758885.0,mkt_dispersion(+0.007) | vol_63d(+0.007) | vol_63d_rank(+0.007)
EL,44,2026-09-17,beta_hedged,0.5208692284502281,0.7772020725388601,4,0.0,93.86000061035156,389403632.0,vol_63d(+0.007) | vol_63d_rank(+0.005) | mkt_dispersion(+0.004)
CRM,45,2026-09-17,beta_hedged,0.5203167547742905,0.772020725388601,4,0.0,242.85000610351562,3973578002.0,vol_63d(+0.016) | vol_63d_rank(+0.007) | vol_21d_rank(-0.004)
JBHT,46,2026-09-17,beta_hedged,0.5187449001285575,0.7668393782383419,4,0.0,236.8000030517578,271885781.0,vol_10d(+0.009) | vol_63d(+0.004) | mkt_dispersion(+0.004)
JBL,47,2026-09-17,beta_hedged,0.5174400683794258,0.7616580310880829,4,0.0,295.94000244140625,272125749.0,vol_63d_rank(+0.007) | vol_63d(+0.006) | mkt_dispersion(+0.005)
FFIV,48,2026-09-17,beta_hedged,0.5173182473839533,0.7564766839378239,4,0.0,434.6199951171875,259327836.0,vol_63d_rank(+0.008) | close_vs_sma200(+0.005) | mkt_dispersion(+0.005)
CRL,49,2026-09-17,beta_hedged,0.517145322062192,0.7512953367875648,4,0.0,281.6700134277344,252023894.0,vol_63d_rank(+0.006) | mkt_dispersion(+0.005) | close_vs_sma200(+0.004)
CHRW,50,2026-09-17,beta_hedged,0.5169239835005418,0.7461139896373057,4,0.0,153.82000732421875,193444899.0,vol_63d_rank(+0.007) | vol_63d(+0.005) | mkt_dispersion(+0.005)
CRWD,51,2026-09-17,beta_hedged,0.5167635177148899,0.7409326424870466,4,0.0,245.6999969482422,2615077976.0,vol_63d(+0.016) | vol_10d(+0.016) | ret_5d(-0.011)
CPRT,52,2026-09-17,beta_hedged,0.515539221378469,0.7357512953367875,4,0.0,29.65999984741211,305705170.0,vol_63d(+0.006) | mkt_dispersion(+0.006) | vol_63d_rank(+0.005)
ALGN,53,2026-09-17,beta_hedged,0.5155027819413519,0.7305699481865285,4,0.0,149.7100067138672,134020244.0,vol_63d_rank(+0.005) | bb_position(+0.003) | mkt_dispersion(+0.002)
SNPS,54,2026-09-17,beta_hedged,0.514157247560381,0.7253886010362695,4,0.0,381.1700134277344,801408843.0,vol_63d_rank(+0.005) | vol_63d(+0.005) | mkt_dispersion(+0.003)
DASH,55,2026-09-17,beta_hedged,0.5141325184253395,0.7202072538860104,4,0.0,194.55999755859375,812549638.0,vol_63d_rank(+0.006) | ret_63d_rank(+0.002) | vol_63d(-0.002)
FSLR,56,2026-09-17,beta_hedged,0.5136904048717742,0.7150259067357513,4,0.0,201.16000366210938,395623653.0,vol_63d_rank(+0.006) | vol_63d(+0.005) | mkt_dispersion(+0.005)
NXPI,57,2026-09-17,beta_hedged,0.5133239068708537,0.7098445595854922,4,0.0,227.9499969482422,680086475.0,vol_63d_rank(+0.006) | vol_63d(+0.004) | mkt_dispersion(+0.004)
TXN,58,2026-09-17,beta_hedged,0.5128358255263193,0.7046632124352331,4,0.0,258.1400146484375,1367760091.0,vol_63d_rank(+0.005) | vol_63d(+0.004) | mkt_dispersion(+0.004)
INCY,59,2026-09-17,beta_hedged,0.5124523877528264,0.6994818652849741,4,0.0,127.62000274658203,161018421.0,vol_63d_rank(+0.007) | vol_63d(-0.006) | close_vs_sma200(+0.005)
TGT,60,2026-09-17,beta_hedged,0.5122946567370311,0.694300518134715,4,0.0,159.8300018310547,694706166.0,vol_63d(-0.007) | close_vs_sma200(+0.006) | vol_63d_rank(+0.006)
AKAM,61,2026-09-17,beta_hedged,0.5114617745063752,0.689119170984456,4,0.0,107.08000183105469,328179870.0,vol_63d_rank(+0.007) | mkt_dispersion(+0.005) | vol_63d(+0.004)
BBY,62,2026-09-17,beta_hedged,0.510822048282887,0.6839378238341969,4,0.0,94.55999755859375,375820301.0,vol_63d_rank(+0.008) | vol_63d(-0.006) | close_vs_sma200(+0.004)
