ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
ADBE,31,2026-08-14,beta_hedged,0.5211421808539527,0.8387096774193549,5,0.005263157894736842,264.0199890136719,1332068915.0,vol_63d(+0.012) | vol_63d_rank(+0.008) | mkt_dispersion(+0.004)
PANW,32,2026-08-14,beta_hedged,0.5207321242484433,0.8333333333333334,5,0.005263157894736842,384.2699890136719,2112731994.0,close_vs_sma200(+0.011) | vol_63d(+0.009) | ret_10d(-0.007)
GEV,33,2026-08-14,beta_hedged,0.5200198483764384,0.8279569892473119,5,0.005263157894736842,1063.25,2650859915.0,vol_63d(+0.016) | vol_63d_rank(+0.006) | mkt_dispersion(+0.003)
SWKS,34,2026-08-14,beta_hedged,0.518880359138776,0.8225806451612904,5,0.005263157894736842,69.62000274658203,371485629.0,vol_63d(+0.021) | vol_63d_rank(+0.007) | mkt_dispersion(+0.003)
CRWD,35,2026-08-14,beta_hedged,0.5183013113518529,0.8172043010752689,5,0.005263157894736842,216.9499969482422,1522991289.0,vol_63d(+0.018) | ret_10d(-0.005) | mkt_dispersion(+0.005)
MSFT,36,2026-08-14,beta_hedged,0.5182666874615943,0.8118279569892473,5,0.005263157894736842,495.3999938964844,17316679721.0,vol_63d(+0.007) | vol_63d_rank(+0.004) | close_vs_sma50(+0.003)
STLD,37,2026-08-14,beta_hedged,0.5145253017325953,0.8064516129032258,5,0.005263157894736842,255.77000427246094,290737787.0,close_vs_sma200(+0.009) | vol_63d_rank(+0.006) | vol_63d(-0.004)
DASH,38,2026-08-14,beta_hedged,0.5144861474575017,0.8010752688172043,5,0.005263157894736842,217.02000427246094,825780103.0,vol_63d(+0.008) | vol_63d_rank(+0.004) | vol_21d(-0.003)
RVTY,39,2026-08-14,beta_hedged,0.514324348047624,0.7956989247311828,4,0.0,116.83999633789062,180282828.0,close_vs_sma200(+0.009) | vol_63d_rank(+0.006) | vol_63d(-0.004)
TECH,40,2026-08-14,beta_hedged,0.513967528081951,0.7903225806451613,4,0.0,72.4000015258789,261123261.0,vol_63d(+0.005) | vol_63d_rank(+0.004) | close_vs_sma200(+0.004)
ON,41,2026-08-14,beta_hedged,0.5139007791548451,0.7849462365591398,4,0.0,82.66000366210938,834533226.0,vol_63d(+0.014) | mkt_dispersion(+0.007) | close_vs_sma200(-0.003)
CHRW,42,2026-08-14,beta_hedged,0.5137817424835539,0.7795698924731183,4,0.0,148.57000732421875,414618522.0,vol_63d(+0.012) | ret_21d_rank(-0.010) | vol_63d_rank(+0.007)
CRL,43,2026-08-14,beta_hedged,0.5134038349073023,0.7741935483870968,4,0.0,280.04998779296875,247966353.0,vol_63d(+0.008) | ret_10d(-0.005) | close_vs_sma200(+0.005)
DXCM,44,2026-08-14,beta_hedged,0.5125717995530433,0.7688172043010753,4,0.0,89.75,442437033.0,vol_63d(+0.007) | close_vs_sma200(+0.004) | vol_63d_rank(+0.004)
KLAC,45,2026-08-14,beta_hedged,0.5124008206426186,0.7634408602150538,4,0.0,203.72000122070312,2340522812.0,mkt_dispersion(+0.008) | vol_63d(+0.007) | atr_pct(+0.006)
TSLA,46,2026-08-14,beta_hedged,0.5109368949431871,0.7580645161290323,4,0.0,342.2699890136719,12804097606.0,vol_63d(+0.013) | vol_63d_rank(+0.006) | mkt_dispersion(+0.006)
ADSK,47,2026-08-14,beta_hedged,0.5106493238390897,0.7526881720430108,4,0.0,251.66000366210938,512032553.0,vol_63d(+0.008) | vol_63d_rank(+0.004) | close_vs_sma50(+0.004)
WSM,48,2026-08-14,beta_hedged,0.5106070256770833,0.7473118279569892,4,0.0,241.5800018310547,216549529.0,close_vs_sma200(+0.007) | vol_63d_rank(+0.005) | vol_63d(-0.004)
ZBRA,49,2026-08-14,beta_hedged,0.5105084731765146,0.7419354838709677,4,0.0,376.0299987792969,303951976.0,vol_63d(+0.015) | vol_10d(+0.007) | ret_21d_rank(-0.004)
JBHT,50,2026-08-14,beta_hedged,0.5099617556949448,0.7365591397849462,4,0.0,279.7099914550781,277480582.0,close_vs_sma200(+0.008) | vol_63d(-0.004) | vol_21d(-0.004)
PWR,51,2026-08-14,beta_hedged,0.509336002605577,0.7311827956989247,4,0.0,685.780029296875,731478988.0,vol_63d(+0.009) | vol_63d_rank(+0.007) | bb_position(-0.002)
BSX,52,2026-08-14,beta_hedged,0.5088069233875305,0.7258064516129032,4,0.0,51.83000183105469,950333092.0,vol_63d_rank(+0.005) | close_vs_sma50(+0.004) | close_vs_sma200(-0.003)
TGT,53,2026-08-14,beta_hedged,0.5083860254149283,0.7204301075268817,4,0.0,154.47999572753906,522991122.0,close_vs_sma200(+0.006) | vol_63d(-0.005) | close_vs_sma50(+0.003)
QCOM,54,2026-08-14,beta_hedged,0.5079202199367004,0.7150537634408602,4,0.0,165.7899932861328,1960725687.0,vol_63d(+0.017) | mkt_dispersion(+0.006) | ret_10d(-0.005)
TXN,55,2026-08-14,beta_hedged,0.5075776958632048,0.7096774193548387,4,0.0,279.5799865722656,2154274447.0,vol_63d(+0.006) | mkt_dispersion(+0.004) | vol_63d_rank(+0.003)
WAB,56,2026-08-14,beta_hedged,0.5071579380153823,0.7043010752688172,4,0.0,299.0199890136719,296169356.0,close_vs_sma200(+0.009) | vol_63d(-0.005) | vol_21d(-0.004)
A,57,2026-08-14,beta_hedged,0.5068951485815772,0.6989247311827957,4,0.0,148.52999877929688,259455595.0,vol_63d_rank(+0.006) | vol_63d(-0.005) | close_vs_sma50(+0.003)
VRT,58,2026-08-14,beta_hedged,0.5067573445065309,0.6935483870967742,4,0.0,293.8399963378906,1643033424.0,vol_63d(+0.011) | vol_21d(+0.006) | ret_10d(-0.006)
