ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
SMCI,1,2026-09-15,beta_hedged,0.5967606868523868,1.0,5,0.005,35.63999938964844,1477741583.0,vol_10d(+0.029) | vol_63d(+0.026) | mkt_dispersion(+0.015)
PANW,2,2026-09-15,beta_hedged,0.5776452932935736,0.9948979591836735,5,0.005,375.0899963378906,2280375412.0,vol_10d(+0.026) | vol_63d(+0.020) | mkt_dispersion(+0.013)
NOW,3,2026-09-15,beta_hedged,0.5730480546337225,0.9897959183673469,5,0.005,141.89999389648438,2266780042.0,vol_10d(+0.024) | vol_63d(+0.021) | mkt_dispersion(+0.015)
COHR,4,2026-09-15,beta_hedged,0.568146785724447,0.9846938775510204,5,0.005,271.1700134277344,1816809698.0,vol_63d(+0.028) | vol_10d(+0.024) | mkt_dispersion(+0.014)
CIEN,5,2026-09-15,beta_hedged,0.5633034585809237,0.9795918367346939,5,0.005,334.3299865722656,832916003.0,vol_63d(+0.024) | vol_10d(+0.022) | mkt_dispersion(+0.011)
GLW,6,2026-09-15,beta_hedged,0.5616053650652268,0.9744897959183674,5,0.005,143.57000732421875,1412257568.0,vol_63d(+0.024) | vol_10d(+0.023) | mkt_dispersion(+0.013)
TER,7,2026-09-15,beta_hedged,0.5603921991751558,0.9693877551020408,5,0.005,332.8500061035156,930722934.0,vol_63d(+0.023) | vol_10d(+0.023) | mkt_dispersion(+0.014)
GDDY,8,2026-09-15,beta_hedged,0.5580520268688036,0.9642857142857143,5,0.005,102.37999725341797,169249641.0,vol_63d(+0.020) | vol_10d(+0.018) | mkt_dispersion(+0.015)
ORCL,9,2026-09-15,beta_hedged,0.5559515038990105,0.9591836734693877,5,0.005,140.35000610351562,4165016569.0,vol_63d(+0.024) | vol_10d(+0.016) | mkt_dispersion(+0.013)
LULU,10,2026-09-15,beta_hedged,0.5529450129759896,0.9540816326530612,5,0.005,98.37000274658203,799817846.0,vol_10d(+0.019) | vol_63d(+0.019) | vol_63d_rank(+0.009)
VRT,11,2026-09-15,beta_hedged,0.552761957352058,0.9489795918367347,5,0.005,234.61000061035156,1347715661.0,vol_10d(+0.021) | vol_63d(+0.018) | mkt_dispersion(+0.013)
LRCX,12,2026-09-15,beta_hedged,0.5526105920563865,0.9438775510204082,5,0.005,270.8699951171875,2426381352.0,vol_63d(+0.024) | vol_10d(+0.020) | mkt_dispersion(+0.013)
CDW,13,2026-09-15,beta_hedged,0.5512954268207656,0.9387755102040817,5,0.005,153.74000549316406,244951319.0,vol_63d(+0.009) | vol_63d_rank(+0.009) | mkt_dispersion(+0.008)
ANET,14,2026-09-15,beta_hedged,0.5510141505573495,0.9336734693877551,5,0.005,192.83999633789062,977316865.0,vol_63d(+0.023) | mkt_dispersion(+0.010) | vol_63d_rank(+0.006)
IT,15,2026-09-15,beta_hedged,0.5503002525523689,0.9285714285714286,5,0.005,195.6199951171875,223619412.0,vol_63d(+0.018) | vol_10d(+0.016) | mkt_dispersion(+0.014)
ON,16,2026-09-15,beta_hedged,0.5471970555254875,0.923469387755102,5,0.005,73.19999694824219,595127974.0,vol_63d(+0.026) | vol_10d(+0.018) | mkt_dispersion(+0.013)
GEV,17,2026-09-15,beta_hedged,0.5464199048112688,0.9183673469387755,5,0.005,882.8099975585938,1968432854.0,vol_63d(+0.024) | mkt_dispersion(+0.012) | vol_63d_rank(+0.006)
ACN,18,2026-09-15,beta_hedged,0.5403363552312305,0.9132653061224489,5,0.005,193.39999389648438,871530553.0,vol_63d(+0.020) | mkt_dispersion(+0.009) | vol_63d_rank(+0.007)
CTSH,19,2026-09-15,beta_hedged,0.5398837292766294,0.9081632653061225,5,0.005,63.279998779296875,338365158.0,vol_63d(+0.019) | mkt_dispersion(+0.009) | vol_63d_rank(+0.007)
STX,20,2026-09-15,beta_hedged,0.5386989799979506,0.9030612244897959,5,0.005,771.8099975585938,3009546596.0,vol_63d(+0.017) | mkt_dispersion(+0.014) | ret_5d(+0.005)
SWKS,21,2026-09-15,beta_hedged,0.5381026236913734,0.8979591836734694,5,0.005,90.0,484870762.0,vol_10d(+0.016) | vol_63d(+0.014) | mkt_dispersion(+0.011)
ADBE,22,2026-09-15,beta_hedged,0.5356570647451999,0.8928571428571429,5,0.005,257.760009765625,1370508993.0,vol_63d(+0.011) | vol_63d_rank(+0.007) | mkt_dispersion(+0.007)
FTNT,23,2026-09-15,beta_hedged,0.5354196573764405,0.8877551020408163,5,0.005,172.3699951171875,675231614.0,close_vs_sma200(+0.007) | vol_63d(+0.005) | vol_10d(+0.005)
ADSK,24,2026-09-15,beta_hedged,0.5352499414015032,0.8826530612244898,5,0.005,226.5,525051128.0,vol_10d(+0.013) | vol_63d(+0.006) | mkt_dispersion(+0.006)
DXCM,25,2026-09-15,beta_hedged,0.5341225543807248,0.8775510204081632,5,0.005,86.44999694824219,330434896.0,close_vs_sma200(+0.008) | vol_63d_rank(+0.005) | mkt_dispersion(+0.005)
TSLA,26,2026-09-15,beta_hedged,0.5322923293183948,0.8724489795918368,5,0.005,356.5799865722656,13919619377.0,vol_63d(+0.022) | mkt_dispersion(+0.009) | vol_63d_rank(+0.006)
AMD,27,2026-09-15,beta_hedged,0.531180142860083,0.8673469387755102,5,0.005,504.20001220703125,8698106650.0,vol_63d(+0.021) | mkt_dispersion(+0.013) | vol_10d(-0.005)
GRMN,28,2026-09-15,beta_hedged,0.5304116886500349,0.8622448979591837,5,0.005,278.9700012207031,248792002.0,close_vs_sma200(+0.010) | vol_63d_rank(+0.007) | mkt_dispersion(+0.003)
KLAC,29,2026-09-15,beta_hedged,0.527071808280009,0.8571428571428571,5,0.005,168.02000427246094,1697399363.0,vol_63d(+0.020) | mkt_dispersion(+0.011) | vol_63d_rank(+0.005)
NTAP,30,2026-09-15,beta_hedged,0.524434237526501,0.8520408163265306,5,0.005,189.92999267578125,467118009.0,close_vs_sma200(+0.008) | mkt_dispersion(+0.005) | vol_63d_rank(+0.004)
MCHP,31,2026-09-15,beta_hedged,0.5242716107336239,0.8469387755102041,5,0.005,71.48999786376953,600578699.0,vol_63d(+0.017) | mkt_dispersion(+0.007) | vol_63d_rank(+0.005)
FCX,32,2026-09-15,beta_hedged,0.5239950901895253,0.8418367346938775,5,0.005,69.37999725341797,1115186888.0,vol_63d(+0.009) | mkt_dispersion(+0.007) | vol_63d_rank(+0.007)
NEM,33,2026-09-15,beta_hedged,0.5220340395574555,0.8367346938775511,5,0.005,124.19000244140625,1031171961.0,vol_63d(+0.007) | mkt_dispersion(+0.005) | ret_63d_rank(+0.003)
TPR,34,2026-09-15,beta_hedged,0.5219113924100397,0.8316326530612245,5,0.005,117.11000061035156,437631118.0,vol_63d(+0.008) | vol_63d_rank(+0.006) | mkt_dispersion(+0.004)
