ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
SMCI,1,2026-09-14,beta_hedged,0.603045067898875,1.0,5,0.005,36.7400016784668,1527944930.0,vol_10d(+0.028) | vol_63d(+0.025) | mkt_dispersion(+0.014)
GLW,2,2026-09-14,beta_hedged,0.5706096616964771,0.9948979591836735,5,0.005,143.60000610351562,1353807953.0,vol_63d(+0.025) | vol_10d(+0.023) | mkt_dispersion(+0.015)
TER,3,2026-09-14,beta_hedged,0.5691546203793384,0.9897959183673469,5,0.005,329.20001220703125,888874265.0,vol_63d(+0.024) | vol_10d(+0.023) | mkt_dispersion(+0.015)
GDDY,4,2026-09-14,beta_hedged,0.5674823701521543,0.9846938775510204,5,0.005,104.47000122070312,168848248.0,vol_63d(+0.023) | vol_10d(+0.021) | mkt_dispersion(+0.012)
LULU,5,2026-09-14,beta_hedged,0.5673193639446023,0.9795918367346939,5,0.005,100.30000305175781,793588946.0,vol_63d(+0.025) | vol_10d(+0.023) | mkt_dispersion(+0.007)
NOW,6,2026-09-14,beta_hedged,0.562881084078204,0.9744897959183674,5,0.005,142.35000610351562,2235401935.0,vol_63d(+0.021) | vol_10d(+0.020) | mkt_dispersion(+0.009)
LRCX,7,2026-09-14,beta_hedged,0.5610973834821302,0.9693877551020408,5,0.005,273.489990234375,2362628289.0,vol_63d(+0.023) | vol_10d(+0.022) | mkt_dispersion(+0.014)
CIEN,8,2026-09-14,beta_hedged,0.5599094524829377,0.9642857142857143,5,0.005,319.6400146484375,851589773.0,vol_63d(+0.026) | vol_10d(+0.022) | mkt_dispersion(+0.008)
VRT,9,2026-09-14,beta_hedged,0.5586017942666307,0.9591836734693877,5,0.005,237.38999938964844,1264611454.0,vol_10d(+0.022) | vol_63d(+0.021) | mkt_dispersion(+0.013)
COHR,10,2026-09-14,beta_hedged,0.5583151849677743,0.9540816326530612,5,0.005,266.5,1827042220.0,vol_63d(+0.028) | vol_10d(+0.021) | mkt_dispersion(+0.015)
PANW,11,2026-09-14,beta_hedged,0.5545713965639831,0.9489795918367347,5,0.005,373.94000244140625,2139146952.0,vol_10d(+0.022) | vol_63d(+0.014) | mkt_dispersion(+0.012)
ON,12,2026-09-14,beta_hedged,0.5496728400357679,0.9438775510204082,5,0.005,71.6500015258789,569158617.0,vol_63d(+0.025) | vol_10d(+0.019) | mkt_dispersion(+0.014)
ANET,13,2026-09-14,beta_hedged,0.5478764245282296,0.9387755102040817,5,0.005,187.80999755859375,970833312.0,vol_63d(+0.019) | mkt_dispersion(+0.009) | close_vs_sma200(+0.006)
ACN,14,2026-09-14,beta_hedged,0.5416503680963092,0.9336734693877551,5,0.005,195.0,875280828.0,vol_63d(+0.021) | mkt_dispersion(+0.006) | vol_63d_rank(+0.006)
TSLA,15,2026-09-14,beta_hedged,0.5403025349165935,0.9285714285714286,5,0.005,358.9700012207031,14114290136.0,vol_63d(+0.025) | mkt_dispersion(+0.008) | vol_63d_rank(+0.004)
GEV,16,2026-09-14,beta_hedged,0.5391319587592491,0.923469387755102,5,0.005,874.760009765625,1903388982.0,vol_63d(+0.022) | mkt_dispersion(+0.011) | vol_63d_rank(+0.004)
FTNT,17,2026-09-14,beta_hedged,0.5380594159901787,0.9183673469387755,5,0.005,170.17999267578125,647670931.0,vol_10d(+0.011) | close_vs_sma200(+0.009) | mkt_dispersion(+0.007)
ORCL,18,2026-09-14,beta_hedged,0.5377999306035871,0.9132653061224489,5,0.005,144.7899932861328,4024662233.0,vol_63d(+0.024) | mkt_dispersion(+0.009) | vol_63d_rank(+0.005)
NTAP,19,2026-09-14,beta_hedged,0.53624285813714,0.9081632653061225,5,0.005,188.27999877929688,472320112.0,close_vs_sma200(+0.008) | vol_63d(+0.007) | mkt_dispersion(+0.006)
DXCM,20,2026-09-14,beta_hedged,0.5351593753498968,0.9030612244897959,5,0.005,84.68000030517578,336993539.0,close_vs_sma200(+0.006) | vol_63d_rank(+0.006) | vol_63d(+0.006)
ZBRA,21,2026-09-14,beta_hedged,0.5341259854467253,0.8979591836734694,5,0.005,351.80999755859375,215889114.0,vol_63d(+0.015) | mkt_dispersion(+0.008) | vol_10d(-0.005)
AMD,22,2026-09-14,beta_hedged,0.534119097619007,0.8928571428571429,5,0.005,493.4100036621094,8743684423.0,vol_63d(+0.020) | mkt_dispersion(+0.011) | vol_63d_rank(+0.004)
EXPE,23,2026-09-14,beta_hedged,0.5339780924488245,0.8877551020408163,5,0.005,287.8599853515625,497132482.0,vol_63d(+0.008) | vol_63d_rank(+0.006) | mkt_dispersion(+0.006)
ADBE,24,2026-09-14,beta_hedged,0.5334885856913297,0.8826530612244898,5,0.005,265.6000061035156,1332534690.0,vol_63d(+0.011) | mkt_dispersion(+0.008) | vol_63d_rank(+0.006)
CDW,25,2026-09-14,beta_hedged,0.5331187272591805,0.8775510204081632,5,0.005,151.6999969482422,243671017.0,vol_63d(+0.009) | vol_63d_rank(+0.007) | mkt_dispersion(+0.007)
ADSK,26,2026-09-14,beta_hedged,0.5331101949555784,0.8724489795918368,5,0.005,228.92999267578125,510731976.0,vol_10d(+0.011) | vol_63d(+0.006) | mkt_dispersion(+0.006)
