ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
GEV,27,2026-08-26,beta_hedged,0.5173740398752327,0.8638743455497382,5,0.005128205128205128,953.0900268554688,2104743978.0,vol_63d(+0.016) | vol_63d_rank(+0.004) | vol_21d(-0.003)
AVGO,28,2026-08-26,beta_hedged,0.5170692345519011,0.8586387434554974,5,0.005128205128205128,355.5899963378906,7745297645.0,vol_63d(+0.014) | bb_position(+0.003) | vol_63d_rank(+0.003)
INCY,29,2026-08-26,beta_hedged,0.5159952666676628,0.8534031413612565,5,0.005128205128205128,128.1199951171875,190789335.0,close_vs_sma200(+0.007) | vol_63d_rank(+0.006) | close_vs_sma50(+0.003)
TER,30,2026-08-26,beta_hedged,0.514152976548614,0.8481675392670157,5,0.005128205128205128,363.1000061035156,1242667972.0,vol_63d(+0.012) | vol_10d(+0.012) | mkt_dispersion(-0.012)
PNR,31,2026-08-26,beta_hedged,0.5136100993882007,0.8429319371727748,5,0.005128205128205128,62.86000061035156,190135059.0,vol_63d(+0.003) | vol_21d(+0.003) | bb_position(+0.003)
EFX,32,2026-08-26,beta_hedged,0.513217753969815,0.837696335078534,5,0.005128205128205128,190.55999755859375,216697697.0,ret_63d(+0.004) | vol_63d(+0.004) | vol_21d(-0.004)
COP,33,2026-08-26,beta_hedged,0.5123695393072839,0.8324607329842932,5,0.005128205128205128,130.61000061035156,866432193.0,close_vs_sma200(+0.008) | close_vs_sma50(+0.006) | vol_63d(-0.005)
WSM,34,2026-08-26,beta_hedged,0.5121414572976507,0.8272251308900523,5,0.005128205128205128,237.42999267578125,219013433.0,close_vs_sma200(+0.008) | vol_63d(-0.005) | vol_10d(-0.002)
TGT,35,2026-08-26,beta_hedged,0.5120492623303164,0.8219895287958116,5,0.005128205128205128,164.0399932861328,742163602.0,close_vs_sma200(+0.006) | vol_63d(-0.004) | close_vs_sma50(+0.004)
FSLR,36,2026-08-26,beta_hedged,0.5112760875786383,0.8167539267015707,5,0.005128205128205128,205.92999267578125,600114136.0,vol_63d(+0.015) | vol_63d_rank(+0.005) | mkt_breadth(-0.004)
BBY,37,2026-08-26,beta_hedged,0.5106921954139504,0.8115183246073299,5,0.005128205128205128,87.44000244140625,281825683.0,close_vs_sma200(+0.006) | vol_21d(-0.004) | mkt_dispersion(+0.004)
TECH,38,2026-08-26,beta_hedged,0.5106822935597785,0.806282722513089,5,0.005128205128205128,72.37999725341797,233543974.0,vol_63d(+0.004) | ret_63d(+0.004) | close_vs_sma200(+0.004)
BLDR,39,2026-08-26,beta_hedged,0.510222596050493,0.8010471204188482,5,0.005128205128205128,68.66999816894531,156915037.0,vol_63d(+0.009) | vol_63d_rank(+0.005) | vol_21d(-0.004)
EPAM,40,2026-08-26,beta_hedged,0.5101683809948012,0.7958115183246073,4,0.0,109.36000061035156,177992434.0,vol_63d(+0.012) | vol_21d(-0.006) | close_vs_sma50(+0.005)
EL,41,2026-08-26,beta_hedged,0.5098949783045914,0.7905759162303665,4,0.0,105.05999755859375,323823492.0,ret_63d(+0.006) | vol_10d(+0.005) | vol_63d(+0.004)
GDDY,42,2026-08-26,beta_hedged,0.5094370443151061,0.7853403141361257,4,0.0,95.54000091552734,201568922.0,vol_10d(+0.013) | vol_63d(+0.011) | mkt_dispersion(-0.007)
ADI,43,2026-08-26,beta_hedged,0.5092104873644474,0.7801047120418848,4,0.0,371.79998779296875,1479471921.0,vol_63d_rank(+0.004) | vol_63d(+0.004) | bb_position(+0.003)
MU,44,2026-08-26,beta_hedged,0.5089472570980652,0.774869109947644,4,0.0,938.4000244140625,32168568733.0,vol_63d(+0.013) | vol_10d(+0.010) | mkt_dispersion(-0.009)
CIEN,45,2026-08-26,beta_hedged,0.5088810810783181,0.7696335078534031,4,0.0,404.0299987792969,830870865.0,vol_63d(+0.019) | mkt_dispersion(-0.014) | vol_10d(+0.010)
NUE,46,2026-08-26,beta_hedged,0.5087850056992194,0.7643979057591623,4,0.0,252.8000030517578,408971429.0,close_vs_sma200(+0.006) | vol_63d(-0.004) | vol_21d(-0.004)
CDW,47,2026-08-26,beta_hedged,0.5084200652210585,0.7591623036649214,4,0.0,141.4600067138672,282868805.0,vol_63d(+0.012) | vol_21d(-0.005) | ret_63d(+0.004)
TMO,48,2026-08-26,beta_hedged,0.5083750466591765,0.7539267015706806,4,0.0,633.7100219726562,1077829494.0,close_vs_sma200(+0.006) | close_vs_sma50(+0.005) | vol_63d(-0.004)
CSCO,49,2026-08-26,beta_hedged,0.5079132092872025,0.7486910994764397,4,0.0,112.36000061035156,2554053984.0,close_vs_sma200(+0.008) | vol_63d_rank(+0.004) | vol_63d(-0.003)
DHR,50,2026-08-26,beta_hedged,0.5076094271224634,0.743455497382199,4,0.0,215.36000061035156,777907994.0,vol_63d_rank(+0.004) | vol_63d(-0.004) | close_vs_sma50(+0.003)
PHM,51,2026-08-26,beta_hedged,0.5070636376104555,0.7382198952879581,4,0.0,130.02999877929688,176968479.0,vol_63d_rank(+0.005) | vol_63d(-0.003) | vol_21d(+0.003)
ROP,52,2026-08-26,beta_hedged,0.5069723858660333,0.7329842931937173,4,0.0,413.2799987792969,305916492.0,close_vs_sma50(+0.005) | vol_63d(-0.005) | vol_63d_rank(+0.003)
LULU,53,2026-08-26,beta_hedged,0.5068665129666745,0.7277486910994765,4,0.0,116.3499984741211,319294299.0,vol_63d_rank(+0.004) | bb_position(+0.003) | vol_63d(+0.003)
STX,54,2026-08-26,beta_hedged,0.5065370859560501,0.7225130890052356,4,0.0,846.3699951171875,4153784850.0,vol_63d(+0.012) | mkt_dispersion(-0.010) | vol_10d(+0.010)
VRTX,55,2026-08-26,beta_hedged,0.5061863397885612,0.7172774869109948,4,0.0,547.2899780273438,640066397.0,close_vs_sma200(+0.006) | vol_63d(-0.005) | close_vs_sma50(+0.004)
CF,56,2026-08-26,beta_hedged,0.50578098503409,0.7120418848167539,4,0.0,125.69999694824219,293642508.0,close_vs_sma200(+0.008) | vol_21d(-0.005) | vol_63d_rank(+0.004)
ORCL,57,2026-08-26,beta_hedged,0.5055907793623992,0.7068062827225131,4,0.0,148.8699951171875,3847611949.0,vol_63d(+0.016) | ret_21d_rank(-0.005) | mkt_breadth(-0.005)
TXN,58,2026-08-26,beta_hedged,0.5054949661586153,0.7015706806282722,4,0.0,261.7699890136719,1786389528.0,vol_63d(+0.006) | bb_position(+0.004) | mkt_dispersion(-0.003)
